title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Jack & Diane,John Mellencamp,0.818,0.445,9,-8.629,1,0.0503,0.0635,1.62e-05,0.0857,0.694,103.938,254400,4,6xrdxmGZnnpScIck7YxCnd,6xrdxmGZnnpScIck7YxCnd,3
Always On My Mind,Willie Nelson,0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36,212667,4,2xYQTU2bbg6WVAmpY1eae4,2xYQTU2bbg6WVAmpY1eae4,6
They All Went To Mexico,Willie Nelson,0.726,0.472,7,-11.788,1,0.0307,0.457,4.79e-06,0.477,0.906,127.371,283160,4,4ygvZxnNqHpG3vkfEGdXlr,4ygvZxnNqHpG3vkfEGdXlr,7
Samba Pa Ti,Santana,0.407,0.358,9,-12.908,0,0.0343,0.829,0.424,0.0827,0.267,92.292,284800,4,35fC3Wq3slX4OBfyvBVmHm,35fC3Wq3slX4OBfyvBVmHm,6
Oye Como Va,Santana,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,256933,4,5u6y4u5EgDv0peILf60H5t,5u6y4u5EgDv0peILf60H5t,3
Europa (Earth's Cry Heaven's Smile),Santana,0.296,0.669,0,-5.364,0,0.0452,0.03,0.831,0.154,0.679,74.692,305947,4,5Yp3e8RcjYevBTZYJ7OD7s,5Yp3e8RcjYevBTZYJ7OD7s,4
Evil Ways,Santana,0.698,0.73,5,-7.549,1,0.0359,0.244,0.105,0.0875,0.744,117.575,235813,4,429W6P946FifyvpSeYwzgs,429W6P946FifyvpSeYwzgs,3
Jingo,Santana,0.504,0.564,7,-11.303,1,0.0799,0.452,0.679,0.239,0.545,125.653,260027,4,2xbZkPvWZRdMsjE9GKqwhx,2xbZkPvWZRdMsjE9GKqwhx,4
Soul Sacrifice,Santana,0.51,0.855,7,-8.993,1,0.0556,0.289,0.882,0.146,0.467,136.474,395067,4,0rZzV7Bi0qH6eJzM3FyG2a,0rZzV7Bi0qH6eJzM3FyG2a,4
Everybody's Everything,Santana,0.517,0.947,5,-5.871,1,0.0621,0.0122,0.00258,0.099,0.759,137.875,210467,4,78u4foI23weUrnMcBtOdqJ,78u4foI23weUrnMcBtOdqJ,3
The Healer,John Lee Hooker,0.585,0.684,0,-8.59,1,0.0468,0.443,0.0192,0.0808,0.673,107.893,338293,4,4VcOFicUgItg598wJOOxVT,4VcOFicUgItg598wJOOxVT,3
I'll Be Waiting,Santana,0.67,0.508,9,-11.58,0,0.0281,0.323,0.0221,0.0874,0.74,117.451,317067,4,5bcOELJwGlUoEL3Izpaa13,5bcOELJwGlUoEL3Izpaa13,5
Hold On,Santana,0.671,0.516,7,-15.981,0,0.0519,0.488,2.8e-05,0.138,0.711,124.699,261027,4,1NZAeh2a8Y6Ry5hGBPGP1e,1NZAeh2a8Y6Ry5hGBPGP1e,6
Well All Right,Santana,0.515,0.778,7,-4.772,1,0.0278,0.016,0.0398,0.303,0.795,109.785,249293,4,210cdtIGZGQkKuha9t0dF8,210cdtIGZGQkKuha9t0dF8,3
Gonna Get Along Without You Now,Viola Wills,0.713,0.769,2,-8.94,1,0.0282,0.00765,0.685,0.294,0.86,122.946,197013,4,4welFyQhNCf92xA8MaSmgA,4welFyQhNCf92xA8MaSmgA,4
Take A Chance With Me,Roxy Music,0.606,0.654,10,-8.372,1,0.0273,0.0146,0.0153,0.207,0.592,124.102,283760,4,7KQWnl9j2X6mfJMgPb9kos,7KQWnl9j2X6mfJMgPb9kos,0
Same Old Scene,Roxy Music,0.617,0.859,3,-5.634,0,0.0462,0.0567,0.0547,0.0735,0.823,118.744,239093,4,0gHDg8K3asBzdQLbLqEIwU,0gHDg8K3asBzdQLbLqEIwU,5
Over You,Roxy Music,0.574,0.777,2,-5.77,1,0.0269,0.000176,0.0311,0.279,0.788,127.449,208329,4,3Kb9aXtygRKNxMYfGGPBvu,3Kb9aXtygRKNxMYfGGPBvu,3
Trash,Roxy Music,0.579,0.881,2,-5.792,1,0.0622,0.115,0.00054,0.0476,0.883,151.752,133400,3,0JVFd7S1qkCJtmSJEdkQHT,0JVFd7S1qkCJtmSJEdkQHT,3
The Price Of Love,Bryan Ferry,0.543,0.909,2,-5.299,1,0.0385,0.00547,0.0147,0.154,0.841,130.904,207907,4,5UoBGPQQ5IngRDLR0PIUBA,5UoBGPQQ5IngRDLR0PIUBA,3
This Is Tomorrow,Bryan Ferry,0.421,0.66,8,-8.106,1,0.0407,0.152,0.444,0.0948,0.512,119.46,220133,4,7utcI11TJOG04Vl3noomNX,7utcI11TJOG04Vl3noomNX,4
Tokyo Joe,Bryan Ferry,0.645,0.782,8,-6.093,1,0.0276,0.0725,0.00593,0.0611,0.909,116.599,235573,4,7haMUPD7GpO32BNFP3r9g5,7haMUPD7GpO32BNFP3r9g5,3
A Hard Rain's A-Gonna Fall,Bryan Ferry,0.675,0.924,8,-6.932,1,0.0897,0.501,0.00485,0.13,0.874,125.352,319160,4,2O1FP6A66cqXt4nj7qnmdJ,2O1FP6A66cqXt4nj7qnmdJ,3
Mirror Mirror,Diana Ross,0.754,0.519,0,-12.924,1,0.0428,0.255,0.0258,0.732,0.963,103.592,369533,4,35CJV7apnwTi0gCM9WCCpz,35CJV7apnwTi0gCM9WCCpz,7
